script,execution_family,staged_path,declared_cli_arguments,execution_status,instruction
data_prep/downloads/decompress_gzip.py,original_v1,00_scripts/decompress_gzip.py,source;destination,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/derive_and_validate_irAE_modules.R,original_v1,00_scripts/derive_and_validate_irAE_modules.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/evaluate_patient_level_module_performance.py,original_v1,00_scripts/evaluate_patient_level_module_performance.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_exports/extract_GSE313368_module_effects.R,original_v1,00_scripts/extract_GSE313368_module_effects.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_exports/extract_GSE313368_perturbation_DE.py,original_v1,00_scripts/extract_GSE313368_perturbation_DE.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_exports/inspect_GSE313368_Robj.R,original_v1,00_scripts/inspect_GSE313368_Robj.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/patients/inspect_h5ad.py,original_v1,00_scripts/inspect_h5ad.py,input;summary_json;obs_parquet,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/historical/make_manuscript_figures.R,original_v1,00_scripts/make_manuscript_figures.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/downloads/multirange_download.py,original_v1,00_scripts/multirange_download.py,url;output;--workers;--chunk-mb,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
config/recorded/project_config.R,original_v1,00_scripts/project_config.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/run_celltype_pathway_enrichment.R,original_v1,00_scripts/run_celltype_pathway_enrichment.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/clinical/run_icb_efficacy_guardrail.R,original_v1,00_scripts/run_icb_efficacy_guardrail.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/run_independent_colon_pathway_enrichment.R,original_v1,00_scripts/run_independent_colon_pathway_enrichment.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/patient_level/run_independent_colon_pseudobulk_de.R,original_v1,00_scripts/run_independent_colon_pseudobulk_de.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/run_lung_source_confounded_sensitivity.R,original_v1,00_scripts/run_lung_source_confounded_sensitivity.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/patient_level/run_patient_level_pseudobulk_de.R,original_v1,00_scripts/run_patient_level_pseudobulk_de.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/run_spatial_pathway_enrichment.R,original_v1,00_scripts/run_spatial_pathway_enrichment.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/patient_level/run_spatial_sample_pseudobulk_de.R,original_v1,00_scripts/run_spatial_sample_pseudobulk_de.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/historical_selection/screen_GSE313368_irAE_rescue.R,original_v1,00_scripts/screen_GSE313368_irAE_rescue.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/downloads/selective_remote_tar_extract.py,original_v1,00_scripts/selective_remote_tar_extract.py,tar_url;filelist;member_regex;output_dir;--workers,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/historical_selection/validate_TNFSF12_signature_reciprocity.R,original_v1,00_scripts/validate_TNFSF12_signature_reciprocity.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/tables/recorded/build_workbook.mjs,recorded_closeout,presentation_code/build_workbook.mjs,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/recorded_closeout/csv_io.R,recorded_closeout,presentation_code/csv_io.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/recorded_closeout/plot_final.R,recorded_closeout,presentation_code/plot_final.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/recorded_closeout/plot_organoid_supplement.R,recorded_closeout,presentation_code/plot_organoid_supplement.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/recorded_closeout/plot_supplement_final.R,recorded_closeout,presentation_code/plot_supplement_final.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/recorded_closeout/theme_final.R,recorded_closeout,presentation_code/theme_final.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/acquire_metadata.py,targeted,analysis_code/acquire_metadata.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/organoid/analyze_organoid.R,targeted,analysis_code/analyze_organoid.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/conditional/conditional_analysis.R,targeted,analysis_code/conditional_analysis.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/download_organoid.py,targeted,analysis_code/download_organoid.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/export_r_capture.py,targeted,analysis_code/export_r_capture.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/organoid/finalize_organoid.py,targeted,analysis_code/finalize_organoid.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/organoid_source_probe.py,targeted,analysis_code/organoid_source_probe.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/conditional/prepare_conditional.py,targeted,analysis_code/prepare_conditional.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/prepare_organoid.py,targeted,analysis_code/prepare_organoid.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
environments/recorded_tools/probe_runtime.R,targeted,analysis_code/probe_runtime.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
tests/recorded/serialization_fixture.R,targeted,analysis_code/serialization_fixture.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/organoid_counts/stream_r_object.py,targeted,analysis_code/stream_r_object.py,file;output,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
tests/recorded/test_r_reader.py,targeted,analysis_code/test_r_reader.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
tests/recorded/verify_conditional.py,targeted,analysis_code/verify_conditional.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
tests/recorded/verify_models_readonly.py,targeted,analysis_code/verify_models_readonly.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/acquire_spatial.py,targeted,presentation_code/acquire_spatial.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/spatial/analyze_spatial_frozen.py,targeted,presentation_code/analyze_spatial_frozen.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/fetch_sources.py,targeted,presentation_code/fetch_sources.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/targeted/plot_conditional.R,targeted,presentation_code/plot_conditional.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/targeted/plot_organoid_supplement.R,targeted,presentation_code/plot_organoid_supplement.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/targeted/plot_spatial_extension.R,targeted,presentation_code/plot_spatial_extension.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/historical_targeted/plot_v1.R,targeted,presentation_code/plot_v1.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/targeted/plot_xenium_extension.R,targeted,presentation_code/plot_xenium_extension.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/probe_public_cohorts.py,targeted,presentation_code/probe_public_cohorts.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/remote_h5_metadata.py,targeted,presentation_code/remote_h5_metadata.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/spatial_inventory.py,targeted,presentation_code/spatial_inventory.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/spatial/spatial_preflight.py,targeted,presentation_code/spatial_preflight.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
tests/recorded/static_smoke.R,targeted,presentation_code/static_smoke.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
environments/recorded_tools/windows_environment_probe.py,targeted,presentation_code/windows_environment_probe.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/spatial/xenium_spatial_followthrough.py,targeted,presentation_code/xenium_spatial_followthrough.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/final_20260917/plot_final.R,final_20260917,05_Rebuild/plot_final.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/final_20260917/theme_final.R,final_20260917,05_Rebuild/theme_final.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/final_20260917/registered_original_csv_io.R,final_20260917,05_Rebuild/registered_original_csv_io.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/supplement_20260917/prepare_plot_data.py,supplement_20260917,03_Editorial_Code/prepare_plot_data.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/supplement_20260917/render_figures.py,supplement_20260917,03_Editorial_Code/render_figures.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/supplement_20260917/common.py,supplement_20260917,03_Editorial_Code/common.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/presentation/prepare_visual_inputs.py,recorded_closeout,presentation_code/prepare_visual_inputs.py,--plan;--write,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/tables/recorded/prepare_workbook.py,recorded_closeout,presentation_code/prepare_workbook.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/tables/final_20260917/finalize_workbook.py,final_table_20260917,05_Rebuild/finalize_workbook.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/tables/final_20260917/common.py,final_table_20260917,05_Rebuild/common.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
